Id,Title,Authors,Abstracts,DOI,Country
S2077-99172022000100043-per,Avances en la comprensión de la interacción entre Ceratocystis cacaofunesta y Xyleborus ferrugineus (Coleoptera: Curculionidae: Scolytinae) en árboles de cacao,"Paladines-Rezabala, Anderson, Moreira-Morrillo, Anthony A., Mieles, Alejandro E., Garcés-Fiallos, Felipe R.","Abstract Cocoa (Theobroma cacao L.) is one of the main crops in Latin American and African countries, its almonds being marketed to produce chocolate. However, different biotic factors can negatively affect the crop production, especially on small farms where management by farmers is scarce or nonexistent. Lethal wilt (Ceratocystis cacaofunesta Engelbrecht & Harrington) together with beetle borers (Coleoptera: Curculionidae: Scolytinae), continue to be the main problems affecting cocoa. It has been observed that both organisms interact intrinsically inside the trunks of cacao trees. Despite the importance of this interaction, in general, the countless research and review articles carried out to date have focused mainly on studying each biotic factor separately or have been addressed in a general way. Thus, in this review we mainly focus on the interaction between the Lethal wilt and the borer beetles, especially how and which is the insect that transmits the disease in cocoa plants. Additionally, an exhaustive characterization of Xyleborus ferrugineus as a possible vector of C. cacaofunesta in cacao trees has been made. From this review, we can say that Ceratocystis species still need to be fully identified and differentiated, a deeper understanding of the ecology of the scolithid X. ferrugineus, to study the interaction between C. cacaofunesta and vectors from the host response and generate new studies, and the chemical ecology of the fungus-vector-tree still needs to be understood., Resumen El cacao (Theobroma cacao L.) es uno de los principales cultivos de países latinoamericanos y africanos, siendo comercializadas sus almendras para la elaboración de chocolate. Sin embargo, diferentes factores bióticos pueden afectar negativamente la producción del cultivo, especialmente en pequeñas fincas donde el manejo por parte de los agricultores es exigua o nula. El Mal del machete (Ceratocystis cacaofunesta Engelbrecht & Harrington) junto a coleópteros barrenadores (Coleoptera: Curculionidae: Scolytinae), siguen siendo los principales problemas que aquejan el cacao. Se ha podido observar que ambos organismos interactúan intrínsecamente dentro de los troncos de árboles de cacao. A pesar de la importancia de esta interacción, por lo general, el número de artículos de investigación como de revisión realizados hasta la presente fecha, se han enfocado principalmente en estudiar cada factor biótico por separado, o han sido abordados de forma general. Así, en esta revisión objetivamos principalmente la interacción entre el Mal del machete y los coleópteros barrenadores, especialmente cómo y cuál es el insecto que transmite la enfermedad en plantas de cacao. Adicionalmente, se ha hecho una caracterización exhaustiva de Xyleborus ferrugineus como posible vector de C. cacaofunesta en árboles de cacao. A partir de esta revisión, nosotros podemos decir que aún falta identificar y diferenciar completamente las especies de Ceratocystis, comprender más a profundidad la ecología del escolítido X. ferrugineus, estudiar la interacción entre C. cacaofunesta y vectores a partir de la respuesta del huésped, y generar estudios en el campo de la ecología química del hongo-vector-árbol.",https://doi.org/10.17268/sci.agropecu.2022.004,per
S1390-85962021000200117-ecu,REVISIÓN SOBRE LIMITES MÁXIMOS DE CADMIO EN CACAO (THEOBROMA CACAO L.),"Florida Rofner, Nelino","Abstract Cadmium (Cd) tends to bioaccumulate in Thebromacacao beans, affecting human health and its marketing possibilities. For this reason, the European Union (EU) approved Regulation No. 488/2014 for processed cocoa products, which applies from January 2019, and motivated authors to conduct research on its bioaccumulation in beans, the potential risks to health, quality, and its export possibilities. The results show high levels in different regions of the main Latin American (LA) producing countries: Brazil, Ecuador, Colombia, Peru, the Dominican Republic, Bolivia, Honduras, and others. However, EU regulation does not stipulate maximum limits for raw cocoa. In the absence of it, research has been classified by reference to the limits for processed cocoa, generating oversized metal levels, controversies in the producer’s and setback in replacing illegal coca cultivation in this region. Thus, this review article will detail research on Cd levels in cocoa beans in major Latin American producing countries, the application of EU regulation No. 488/2014 to raw cocoa, proposals to set maximum limits on raw almonds and their implications for replacing illicit crops., Resumen El cadmio (Cd) tiende a bioacumularse en granos de Theobroma cacao, afectando la salud humana y sus posibilidades de comercialización. Esto llevó a la Unión Europea (UE) a aprobar el Reglamento N. 488/2014 para productos procesados del cacao, y motivó a la comunidad científica a realizar investigaciones sobre su bioacumulación en granos, los potenciales riesgos a la salud, calidad, y sus posibilidades de exportación. Los resultados evidencian altos niveles en diferentes regiones de los principales países productores Latinoamericanos (LA): Brasil, Ecuador, Colombia, Perú, República Dominicana, Bolivia, Honduras, y otros. Sin embargo, el reglamento 488/2014 no estipula límites máximos en cacao sin procesar; en ausencia de este, las investigaciones han clasificado estos límites, tomando como referencia los límites para cacao procesado, generando sobredimensionamiento de los niveles del metal, controversias en el mercado y retroceso en la sustitución del cultivo ilegal de la coca en esta región. Por lo tanto, en este artículo de revisión se detallarán las investigaciones realizadas sobre los niveles de Cd en almendras de cacao en principales países productores de América Latina, la aplicación del reglamento N. 488/2014 a cacao sin procesar, las propuestas para establecer límites máximos en almendras sin procesar y sus implicaciones en la sustitución de cultivos ilícitos.",https://doi.org/10.17163/lgr.n34.2021.08,ecu
S0123-30332021000200212-col,"Physicochemical and sensory characteristics of fermented almonds of national cacao (Theobroma Cacao L.) with addition of probiotics in the amazonic research center, Cimaz Macagual (Caquetá, Colombia)","García-Rincón, Paola A., Núñez-Ramírez, José M., Bahamón-Monje, Andrés F.","Resumen Se ha impulsado el trabajo en cacao en el departamento del Caquetá, con resultados satisfactorios; en el presente artículo, se implementó cinco tratamientos de cacao para estudiar el comportamiento; FI1 (Fermentación con Inóculo # 1); FI2 (Fermentación con Inóculo # 2); FI3 (Fermentación con Inóculo # 3); FN1 (Fermentación Natural # 1); FN2 (Fermentación Natural # 2) con clones CCN-51, LUKE-40 y ICS 95. El objetivo del presente estudio fue evaluar el efecto fisicoquímico y sensorial tras la adición de un probiótico en clones de cacao en la etapa de fermentación. El inoculo fue preparado y estudiado con antelación para mantener una misma concentración para cada tratamiento. En los cambios fisicoquímicos se evaluó la humedad del grano, pH, ácidez titulable, aw, sólidos solubles tanto en la almendra seca como en la almendra tostada. Los tratamientos con fermentación natural durante el proceso fueron los que más cambios se obtuvieron durante el proceso de secado y tueste en la acidez y humedad con respecto a los tratamientos de inóculos, y sensorialmente muestran un perfil más aromático y sabores a cacao pronunciados., Abstract Work on cocoa has been promoted in the department of Caquetá, with satisfactory results; In this article, five cocoa treatments were implemented to study behavior; FI1 (Fermentation with Inoculum # 1); FI2 (Fermentation with Inoculum # 2); FI3 (Fermentation with Inoculum # 3); FN1 (Natural Fermentation # 1); FN2 (Natural Fermentation # 2) with clones CCN-51, LUKE-40 and ICS 95. The objective of the present study was to evaluate the physicochemical and sensory effect after the addition of a probiotic in cocoa clones in the fermentation stage. The inoculum was prepared and studied in advance to maintain the same concentration for each treatment. In the physicochemical changes, the humidity of the grain, pH, titratable acidity, aw, soluble solids were evaluated both in the dry almond and in the roasted almond. The treatments with natural fermentation during the process were the ones that obtained the most changes during the drying and roasting process in acidity and humidity with respect to the inoculum treatments, and sensorially they show a more aromatic profile and pronounced cocoa flavors.",https://doi.org/10.25100/iyc.v23i2.10885,col
S2011-21732021000300006-col,"Quantification of cyanogenic compounds, amygdalin, prunasin, and hydrocyanic acid in almonds (Prunus dulcis Miller) for industrial uses","ARRÁZOLA, GUILLERMO, GRANE, NURIA, DICENTA, FEDERICO","ABSTRACT The objective of this research was to quantify the concentration levels of cyanogenic compounds, amygdalin and prunasin in some varieties of almonds, considering their conversion to hydrocyanic acid and possible consumption in addition to other industrial uses. Seeds from 29 commercial varieties of almond were used (Prunus dulcis Miller), evaluating the concentration and toxicity levels, taking into account the minimum degree of theoretical intake both for human consumption and for animals through consumption in terms of by-products. In addition, thermophysical properties (thermal conductivity, thermal diffusivity, specific heat and density) and industrial uses were determined. The concentration was determined with chromatographic techniques (HPLC) and colorimetry (microdiffusion). The results showed low levels of amygdalin, from ""not detected"" to 375.40 mg/100 g of sample, depending on the sweet, slightly bitter and bitter varieties. The results indicated the possibility of commercialization, with uses and applications in the food and pharmaceutical industries., RESUMEN El objetivo de esta investigación fue cuantificar los niveles de concentración de los compuestos cianogénicos, amigdalina y prunasina presentes en algunas variedades de almendras, considerando su conversión a ácido cianhídrico, y su posible consumo además de otros usos industriales, se utilizaron semillas de 29 variedades comerciales de almendro (Prunus dulcis Miller), evaluando su concentración y niveles de toxicidad, teniendo en cuenta el grado mínimo de ingesta teórica tanto para el consumo humano como para los animales, a través de los piensos, esto en términos de subproductos. Además, se determinaron propiedades termofísicas (conductividad térmica, difusividad térmica, calor específico y densidad) y usos industriales. La concentración se determinó mediante técnicas cromatográficas (HPLC) y colorimetría (microdifusión). Los resultados obtenidos mostraron niveles bajos de amigdalina desde ""no detectado"" hasta 375.40 mg/100 g de muestra, dependiendo de las variedades dulce, ligeramente amarga y amarga. Los resultados indican su posibilidad de comercialización, usos y aplicaciones en la industria alimentaria y farmacéutica.",https://doi.org/10.17584/rcch.2021v15i3.13049,col
S2313-29572021000400266-per,Antioxidantes y polifenoles totales de chocolate negro con incorporación de cacao (Theobroma cacao L.) crudo,"chacón Ortiz, Clorinda Yordana, Mori Culqui, Pati Llanina, Chavez Quintana, Segundo Grimaldo","Abstract Cocoa and its main derivative, chocolate, are an important source of antioxidant compounds for human nutrition. Polyphenols are the main antioxidants present in chocolate and are affected by the industrialisation processes of cocoa beans. In this regard, the effect of incorporating raw cocoa during the final stage of the refining process on the antioxidant capacity and phenolic content of dark chocolate was studied. For this purpose, dark chocolates (70%) were made with the incorporation of raw cocoa paste (10, 20 and 30% w/w) in the final refining stage. The antioxidant capacity of all the treatments was determined by the DPPH (2,2-Diphenyl-1-picrylhydrazyl) method and the total phenolic content by the Folin Ciocalteu spectrophotometric method. It was observed that the incorporation of raw cocoa significantly increases the content of antioxidants and total polyphenols in chocolate. As the dose of raw cocoa increases, the antioxidant activity of the chocolate increases linearly (R2=0.996); on the other hand, the polyphenol content increases exponentially (R2=0.968). Only the lowest dose (10%) doubles the phenolic content and the ratio decreases with higher doses of incorporation. The results suggest that the incorporation of raw cocoa in the formulations makes it possible to obtain chocolates with high phenolic content, improving the technological processes for using cocoa produced in the tropical Andes to develop bioactive chocolates, in line with new consumer demand., Resumen El cacao y su principal derivado, el chocolate, son fuente importante de compuestos antioxidantes para la nutrición humana. Los polifenoles son los principales antioxidantes presentes en el chocolate y se ven afectados por los procesos de industrialización de las almendras de cacao. En tal sentido, se estudió el efecto de la incorporación de cacao crudo durante la etapa final del proceso de refinado en la capacidad antioxidante y contenido fenólico de chocolate oscuro. Para ello se elaboraron chocolates oscuros (70%) con la incorporación de pasta de cacao crudo (10, 20 y 30% p/p) en la etapa final del conchado. A todos los tratamientos se le determinaron la capacidad antioxidante por el método DPPH (2,2-Difenil-1-picrilhidrazil) y contenido fenólico total mediante el método espectrofotométrico de Folin Ciocalteu. Se observó que la incorporación de cacao crudo incrementa significativamente el contenido de antioxidantes y polifenoles totales en el chocolate. A medida que se incrementa la dosis de cacao crudo, la actividad antioxidante del chocolate se incrementa linealmente (R2=0,996); por otro lado, el contenido de polifenoles se incrementa de manera exponencial (R2=0,968). Con solo la menor dosis (10%) se logra duplicar el contenido fenólico y la razón se reduce con dosis mayores de incorporación. Los resultados sugieren que la incorporación de cacao crudo en las formulaciones permite obtener chocolates con elevado contenido fenólico, mejorando los procesos tecnológicos de aprovechamiento del cacao producido en los Andes tropicales, para el desarrollo de chocolates bioactivos, conforme las nuevas exigencias del mercado.",https://doi.org/10.18271/ria.2021.331,per
S1810-634X2021000100039-per,"Determinación del contenido de cadmio en suelos, frutos, granos fermentados y secos, licor de cacao y chocolate en zonas productoras de la Región San Martín","Santander Ruiz, Wilson, Garay Montes, Richer, Verde Girbau, Carlos, Mendieta Taboada, Oscar","ABSTRACT In the present work was evaluated the content of cadmium in soils, leaves, fresh almonds (testa and embryo), dried fermented almonds, cocoa liquor, and chocolate bars with 70% cocoa, two provinces (Bellavista and Huallaga), and 5 locations (3 in Bellavista and 2 in Huallaga) of the San Martín Region. The cadmium content was determined with an atomic absorption spectrophotometer, using a filtered sample obtained from 0.5 g of dry sample and 5 ml of perchloric nitric solution, after digestion; tests carried out in laboratories of the Universidad Nacional de San Martín (UNSM). The maximum values obtained for cadmium content (ppm) were: in soils, 0.960; in sheets 0.780; in testa and cotyledon 0.098; in fermented and dried almonds 0.075; in cocoa liquor, 0.210; in chocolate tablets with 70% cocoa 0.625. The correlation coefficient (R2) for fermented and dried almonds, indicates that there is no significant difference between zones, while in cocoa liquor the Tingo de Saposoa sample was statistically different (p<0.05), all values being below the maximum allowable. The increase in the content of cadmium in chocolate may be due to complementary ingredients (milk, panela) or to the processing equipment used., RESUMEN El contenido de cadmio en suelos, hojas, almendras frescas (testa y embrión), almendras fermentadas secas, licor de cacao y tabletas de chocolate con 70 % de cacao, de dos provincias (Bellavista y Huallaga) y cinco localidades (3 en Bellavista y 2 en Huallaga) de la Región San Martín, fue evaluado en el presente trabajo. El contenido de cadmio se determinó por espectrofotometría de absorción atómica, utilizando muestra filtrada obtenida de 0,5 g de muestra seca y 5 ml de solución nítrica perclórica, previa digestión; ensayos realizados en laboratorios de la Universidad Nacional de San Martín (UNSM). Los valores máximos obtenidos para contenido de cadmio (ppm) fueron: en suelos, 0,960; en hojas 0,780; en testa y cotiledón 0,098; en almendras fermentadas y secas 0,075; en licor de cacao, 0,210; en tabletas de chocolate al 70 % de cacao 0,625. El coeficiente de correlación (R2) para almendras fermentadas y secas indica que no existe diferencia significativa entre zonas, mientras que en licor de cacao la muestra de Tingo de Saposoa fue estadísticamente diferente (p<0,05), estando todos los valores por debajo del máximo permisible. El incremento del contenido de cadmio en chocolate puede deberse a los ingredientes complementarios (leche, panela) o al equipo de procesamiento utilizado.",https://doi.org/10.37761/rsqp.v87i1.321,per
S0120-28122020000400285-col,Efecto de la dinámica de tostado sobre las propiedades del licor de copoazú (Theobroma grandiflorum Willd. ex Spreng. Schum.),"Criollo-Nuñez, Jenifer, Sandoval-Aldana, Angelica-Piedad, Méndez-Arteaga, John-Jairo","Resumen En un trabajo conjunto entre la Universidad del Tolima y la Corporación Colombiana de Investigación Agropecuaria (Agrosavia) en el Centro de Nataima, Colombia, se generaron curvas de tostión de almendras de Copoazú (Theobroma grandiflorum) evaluando el efecto del tiempo (20 y 25 minutos) y la temperatura (°C) (115, 120 y 130) sobre las características químicas y sensoriales del licor, catalogado como fino, y del aroma por poseer notas frutales en su perfil sensorial. De igual forma, se determinaron los índices de calidad de la grasa del fruto. Se encontró que, a 130 °C durante 25 minutos se generaron variaciones significativas (P < 0.05) en parámetros químicos como contenido de azúcares totales, proteína y grasa, los que decrecieron 62.7, 47.99 y 40.7%, respectivamente, en comparación con los mismos parámetros encontrados en el tratamiento control sin horneado. Los tratamientos evaluados mostraron que las almendras de copoazú son sensibles a altas temperaturas, presentando defectos sensoriales como aroma quemado en almendras tostadas a 130 °C y 120 °C. Las almendras tostadas a 115 °C presentaron aromas característicos a frutal, floral, nuez y dulce. El mejor tratamiento para almendras de copoazú fue de 115 °C por 25 minutos, logrando con él la mejor expresión sensorial y las menores pérdidas de macronutrientes de la pasta, sin efecto negativo sobre la calidad de la grasa., Abstract In a joint work between Universidad del Tolima and Corporación Colombiana de Investigación Agropecuaria (Agrosavia) in Nataima, Colombia, toasting curves of Copoazú almonds (Theobromagrandiflorum) were generated in which the effect of time (20 and 25 minutes) and temperature (° C) (115, 120 and 130) on the chemical and sensory characteristics of the liquor, classified as fine, and on the aroma due to its fruity notes in its sensory profile, were assessed. Quality index of the fruit fat were determined. It was found that, at 130 ° C for 25 minutes, significant variations (P <0.05) were generated in chemical parameters such as total sugar, protein and fat content, which decreased 62.7, 47.99 and 40.7%, respectively, compared to the same parameters found in the control treatment without baking. Treatments showed that copoazú almonds are sensitive to high temperatures, presenting sensory defects such as burnt aroma in roasted almonds at 130 ° C and 120 ° C. The almonds roasted at 115 ° C presented characteristic aromas of fruity, floral, nutty and sweet. The best treatment for copoazú almonds was 115 ° C for 25 minutes, achieving with it the best sensory expression and the lowest loss of macronutrients from the paste, without negative effect on the quality of the fat.",https://doi.org/10.15446/acag.v69n4.87583,col
S1817-74332020000200003-bol,"PRESENCIA DE PSEUDOMONAS AERUGINOSAS, CEPAS BLEE Y RESISTENCIA EN SALAS DEL HOSPITAL SOLOMON KLEIN, COCHABAMBA","Pascual Araoz, Danny Junior, Flores Ocampo, Adriana Belén, Quiroga Pérez, Andrea Camila, Almendras Terrazas, Brenda, Crespo Osinaga, Katheryne Romaneth","Las infecciones causadas por Pseudomona aeruginosa y cepas BLEE junto con la resistencia bacteriana, producto del uso exagerado e inapropiado de los antibióticos, han favorecido al aumento importante de microorganismos resistentes a múltiples fármacos por lo que se ha convertido en un problema importante de salud de difícil manejo. Objetivo: Conocer la presencia de Pseudomona aeruginosa y cepas BLEE junto con su resistencia en la Sala de Maternidad y Neonatología del Hospital Solomon Klein el año 2019. Materiales y Métodos: Estudio de tipo descriptivo y transversal, se incluyó porta-sueros, agarrador de las camas, bandeja del material de curación, llave de los sueros, mangueras de los sueros e incubadoras para tomar muestras de estos. Resultados: Se tomaron 25 muestras de la sala de maternidad y neonatología de las que 3 (12%) resultaron positivos a Pseudomona aeruginosa en superficies de porta sueros, agarrador de camilla y bandeja de material de curación del servicio de Enfermería de la Sala de Maternidad. En las 21 (84%) muestras restantes prevaleció la presencia de la enterobacteria Hafnia alvei, en el análisis de resistencia resultaron sensibles a Cefotaxima descartando la existencia de cepas BLEE en el hospital. Discusión: las infecciones asociadas a servicios de salud ocurren principalmente durante el ingreso y estancia hospitalaria y es por eso que la vigilancia de estos patrones facilita conocer los mecanismos de acción predominantes de los servicios, lo cual, es muy importante al momento de tomar decisiones terapéuticas., Infections caused by Pseudomona aeruginosa and BLEE strains together with the bacterial resistance due to exaggerated and incorrect use of antibiotics have favored the increase in the importance of microorganisms resistant to multiple drugs, which has become an important health problem for difficult handling Objective:To know the presence of Pseudomona aeruginosa and BLEE strains together with their resistance in the Maternity and Neonatology Room of the Solomon Klein Hospital in 2019. Materials and Methods: Descriptive study and cross-sectional type include serum-holder, grabber the beds, tray of the healing material, key of the sera, hoses of the sera and incubators to take samples of these. Results: We took 25 samples from the maternity and neonatology ward of which 3 (12%) were positive for Pseudomona aeruginosa on serum carrier surfaces, stretcher gripper and Cure Material Tray of the Nursing Service of the Maternity ward. In the 21 (84%) remaining samples, the presence of Hafnia alvei enterobacteria prevailed, in the resistance analysis they were sensitive to Cefotaxime, ruling out the existence of BLEE strains in the hospital. Discussion: infections associated with health services occur mainly during hospital admission and hospital stay and that is why monitoring these patterns makes it easier to know the predominant mechanisms of action of the services, which is very important at the moment.of making therapeutic decisions.",,bol
S1853-86652019000200021-arg,"Effect of traffic with a light-weight tractor on physical properties of an Aridisol soil in Almeria, Spain","Botta, Guido Fernando, Bienvenido, José Fernando, Antille, Diogenes Luis, Rivero, Ezequiel Ricardo David, Contessotto, Enrique Ernesto, Ghelfi, Diego Gabriel, Nistal, Ayelén Ileana, Pelizzari, Federico Matías","The objective of this work was to evaluate the effect of repeated traffic with a light-weight tractor on the physical/mechanical properties of an Aridisol soil from eastern Almería (Spain). The soil has been used for almond (Prunus amigdalus L.) production for the past 29 years. A light modal tractor (≈15 kN overall load) and different traffic frequencies or treatments; namely, 0 (control, no traffic), and 1, 5, 7, and 10 passes, respectively, were used. The following variables were measured: cone Index (CI); bulk density (BD); total soil porosity (TSP); water infiltration into soil (I), and ruth depth (RD). The results showed that, only treatments 7 and 10 led to significant increases in CI and BD throughout the soil profile (0-450 mm). Changes in TSP in those treatments were consistent with changes in soil bulk density. No significant differences in RD were found when the tractor passed 1 or 5 times. All traffic treatments resulted in significant compaction in the topsoil layer (0-150 mm) and soil physical conditions that would be regarded as unsuitable for establishment of most arable crops., Nuestro principal objetivo fue evaluar los efectos sobre las propiedades físicas del suelo causados por el tráfico de un tractor que es de uso común en el este de la provincia de Almería, España. El trabajo se realizó sobre suelo Aridisol, en el distrito de Vélez Blanco, en el sureste de España. El suelo se ha utilizado para la producción de almendras (Prunus amigdalus L.) durante los últimos 29 años. Se utilizó un tractor modal con diferentes frecuencias o tratamientos de tráfico: 0 (sin tráfico), 1, 5, 7 y 10 pasadas, respectivamente. Las variables medidas fueron las siguientes: (1) índice de cono (CI); (2) densidad aparente (BD); (3) porosidad total del suelo (TSP); (4) infiltración del suelo (I) y profundidad de huella (RD). Los resultados mostraron que, solo 7 y 10 pasadas del tractor produjeron aumentos significativos en los valores de CI y BD en el perfil medido del suelo (0 - 450 mm). Además, este trabajo ha demostrado que la compactación del suelo por el tráfico de un tractor liviano (≈15 kN) disminuye la TSP en todo el perfil del suelo estudiado. No se encontraron diferencias significativas en RD cuando el tractor pasó 1 o 5 veces. Todos los tratamientos de tráfico compactaron el horizonte superficial del suelo (0-150 mm) generando condiciones físicas o mecánicas que no serían adecuadas para el establecimiento del cultivo.",,arg
S2313-29572019000400004-per,Efecto de compost y NPK sobre los niveles de microorganismos y cadmio en suelo y almendra de cacao,"Florida Rofner, Nelino, Paucar García, Hildauro Juan, Jacobo Salinas, Santos Severino, Escobar Mamani, Fortunato, Torres García, Jaime","Cocoa (Theobroma cacao L.) is an important crop for Peru; reports of high cadmium content (Cd2+) cause problems for the sector. However, research highlights that organic management improves the microbiological activity of the soil and the absorption of cadmium in almonds. Therefore, the effect of compost and NPK in different soil microbial groups and the available Cd in soils and cocoa beans CCN-51 was evaluated. A completely randomized block design was used, with four treatments and four repetitions, where: T1 control, T2 compost (3 000 kg. ha-1), T3 NPK (84-35-161) and T4: compost (1 500 kg. ha-1) plus NPK (42-18-80). The population of viable aerobes, actinomycetes, fungi and nitrogen fixers were evaluated using the plate count technique with serial dilutions (10³). The Cd available with 0.05 M EDTA and in almonds by 4: 1 perchloric nitric acid digestion. The population of viable aerobes was 10(4) UFC / g, actinomycetes 10(4) to 10(5), fungi and nitrogen fixers 10³ UFC/g; the Cd in the soil varies from 0.17 to 0.25 µg. g-1 and in almonds from 0.31 to 0.43 µg. g-1 No differences (p <0.05) were found between treatments and the different microbial groups, except Cd2+ in almonds. It is concluded that the compost showed potential to reduce the Cd in cocoa almonds, El cacao (Theobroma Cacao L.) es un cultivo importante para Perú; los reportes de elevados contenidos de cadmio (Cd2+) causan problemas al sector. Sin embargo, las investigaciones destacan que el manejo orgánico mejora la actividad microbiológica del suelo y la absorción del cadmio en almendras. Por ello, se evaluó el efecto del compost y NPK en diferentes grupos microbianos del suelo y el Cd disponible en suelos y granos de cacao CCN-51. Se utilizó un diseño de bloque completamente aleatorizado, con cuatro tratamientos y cuatro repeticiones, donde: T1 testigo, T2 compost (3 000 kg. ha-1), T3 NPK (84-35-161) y T4: compost (1 500 kg. ha-1) más NPK (42-18-80). Se evaluó a través de la técnica de recuento en placa con diluciones seriadas (10³) la población de aerobios viables, actinomicetos, fungi y fijadores de nitrógeno. El Cd disponible con EDTA 0,05 M y en almendras por digestión acida Nítrico perclórico 4:1. La población de aerobias viables fue de 10(4) UFC/g, actinomicetos 10(4) a 10(5), los fungi y fijadores de nitrógeno 10³ UFC/g; el Cd en el suelo varía de 0,17 a 0,25 µg. g-1 y en almendras de 0,31 a 0,43 µg. g-1. No se encontró diferencias (p<0,05) entre tratamientos y los diferentes grupos microbianos, excepto Cd2+ en almendras. Se concluye que el compost mostró potencial para reducir el Cd en almendras de cacao",https://doi.org/10.18271/ria.2019.503,per
