Id,Title,Authors,Abstracts,DOI,Country
S0011-52582024000200207-scl,Candidaturas Coletivas: Uma Nova Forma de Interação entre Movimentos Sociais e Partidos Políticos,"Almeida, Débora Cristina Rezende de","RESUMEN Este artículo analiza las candidaturas colectivas a partir de la literatura sobre la interacción entre partidos políticos y movimientos sociales. Se pregunta ¿cuáles son las características de las candidaturas colectivas, de los voceros y de los elegidos? ¿qué nos dicen sobre la interacción entre movimientos sociales y partidos políticos? Para ello, se presenta un banco de datos de 319 candidaturas participantes en las elecciones municipales de 2020 y el análisis cualitativo y cuantitativo del perfil de los voceros: género, raza, edad, escolaridad, estado civil, distribución en las unidades federativas, vínculos e infraestructura organizacional de los movimientos y de los partidos, así como recursos de las campañas. Por medio de la mutua fertilización entre literaturas, el artículo argumenta que las candidaturas colectivas presentan una nueva forma de interacción entre movimientos sociales y partidos políticos y, al mismo tiempo, ofrece una caracterización detallada de las candidaturas colectivas a partir de una lectura de su conjunto. El artículo también pone en tensión algunos presupuestos que relacionan las candidaturas colectivas exclusivamente con la inclusión de grupos minorizados, nuevos activismos y pautas interseccionales., ABSTRACT This article analyzes collective candidacies based on the literature on the interaction between political parties and social movements. It asks: what are the characteristics of collective candidacies, of spokespersons and of those elected? What do they tell us about the interaction between social movements and political parties? It presents a database of 319 candidacies participating in the 2020 municipal elections and qualitative and quantitative analysis of the spokespersons’ profiles: gender, race, age, education, marital status, distribution in federal units, ties and organizational infrastructure of movements and parties, and campaign resources. Through the mutual fertilization between literatures, the article argues that collective candidacies present a new form of interaction between social movements and political parties, at the same time, it offers a detailed characterization of collective candidacies as a whole. The article also confronts some assumptions that relate collective candidacies exclusively to inclusion of marginalized groups, new activisms, and intersectional agendas., RESUMO Este artigo analisa as candidaturas coletivas a partir da literatura sobre a interação entre partidos políticos e movimentos sociais. Pergunta: quais características das candidaturas coletivas, dos porta-vozes e dos eleitos? O que elas nos dizem sobre a interação entre movimentos sociais e partidos políticos? Apresenta um banco de dados de 319 candidaturas participantes das eleições municipais de 2020 e análise qualitativa e quantitativa do perfil dos porta-vozes: gênero, raça, idade, escolaridade, estado civil, distribuição nas unidades federativas, vínculos e infraestrutura organizacional dos movimentos e dos partidos, e recursos de campanhas. Por meio da mútua fertilização entre literaturas, o artigo argumenta que as candidaturas coletivas apresentam uma nova forma de interação entre movimentos sociais e partidos políticos, ao mesmo tempo, oferece uma caracterização detalhada das candidaturas coletivas a partir de uma leitura do seu conjunto. O artigo também tensiona alguns pressupostos que relacionam as candidaturas coletivas exclusivamente com a inclusão de grupos minorizados, novos ativismos e pautas interseccionais., RÉSUMÉ Cet article analyse les candidatures collectives à partir de la littérature sur l’interaction entre partis politiques et mouvements sociaux. Question : quelles sont les caractéristiques des candidatures collectives, des porte-parole et des élus ? Que nous apprennent-ils sur l’interaction entre mouvements sociaux et partis politiques ? Il présente une base de données de 319 candidatures participant aux élections municipales de 2020 et une analyse qualitative et quantitative du profil des porte-parole : sexe, race, âge, éducation, état civil, répartition dans les unités fédératives, attaches et infrastructure organisationnelle des mouvements et des partis, et les ressources de campagne. À travers une fertilisation mutuelle entre littératures, l’article soutient que les candidatures collectives présentent une nouvelle forme d’interaction entre mouvements sociaux et partis politiques et, en même temps, propose une caractérisation détaillée des candidatures collectives à partir d’une lecture de leur ensemble. L’article insiste également sur certaines hypothèses qui lient les candidatures collectives exclusivement à l’inclusion des groupes minoritaires, aux nouveaux activismes et aux agendas intersectionnels.",https://doi.org/10.1590/dados.2024.67.2.320,scl
S0011-52582024000100201-scl,Política Distributiva em Coalizão,"Meireles, Fernando","Resumo Este artigo oferece uma teoria para explicar como partidos políticos influem nos investimentos discricionários de ministérios no Brasil. Ao contrário de estudos anteriores que assumem que presidentes centralizam decisões alocativas do Governo Federal, argumento que eles e elas as partilham com outros partidos quando oferecem ministérios ao formar coalizões de governo. Uma vez no comando de um ministério, partidos passam a exercer influência e adquirir expertise sobre os investimentos geridos por suas pastas, o que, por sua vez, incentiva seus correligionários locais a pedir, e também receber, mais recursos destas. Dados que cobrem mais de 20 anos de transferências discricionários de ministérios a prefeituras no Brasil e um desenho de triplas-diferenças dão suporte à teoria. Em particular, os resultados mostram que prefeitos tanto demandam quando recebem até um terço a mais de transferências vindas de ministérios comandados por correligionários, efeito que é maior em anos eleitorais e em ministérios que investem mais em infraestrutura local, sem distinção entre partido na Presidência e parceiros de coalizão. Por outro lado, não há evidência de que ministros manipulam diretamente a burocracia para beneficiar aliados. No geral, esses achados indicam que partidos políticos extraem benefícios não-programáticos da ocupação de ministérios no Brasil., Abstract This paper provides a theory to explain how political parties influence cabinet portfolios’ targeted discretionary investments in Brazil. Contrary to previous studies that claim presidents centralize allocative decisions for electoral gains, I argue that they share them with coalition parties when they offer portfolios to obtain legislative support. Conversely, coalition parties acquire influence and expertise on portfolio-specific spending, incentivizing local incumbents to request more transfers from portfolios held by co-partisan ministers. Data covering more than twenty years of discretionary investments from cabinet portfolios to municipalities in Brazil and a triple-difference design support the theory. Results show that mayors demand and receive up to one-third more transfers from portfolios administered by co-partisan politicians, an effect that benefits both presidents’ and coalition parties alike. In addition, this effect is greater in election years and among portfolios responsible for local infrastructure. I find no evidence that ministers or their staff directly manipulate the bureaucracy to favor co-partisan mayors. These findings indicate that political parties reap non-programmatic benefits from joining government coalitions in Brazil., Resumen Este artículo ofrece una teoría para explicar de qué forma los partidos políticos influyen en las inversiones discrecionales de los ministerios en Brasil. Contrario a estudios anteriores que asumen que presidentes centralizan las decisiones de asignación del Gobierno Federal, aquí argumento que ellos y ellas comparten dichas decisiones con otros partidos cuando ofrecen ministerios al formar coaliciones de gobierno. Una vez que asumen un ministerio, los partidos pasan a ejercer influencia y a adquirir experticia sobre las inversiones gestionadas por sus despachos, lo que, a su vez, incentiva a sus correligionarios locales a pedir, y también a recibir, más recursos de estos. Con datos que abarcan más de 20 años de transferencias discrecionales de ministerios a alcaldías en Brasil y a partir de un diseño de diferencias triples, se da soporte a la teoría. En particular, los resultados muestran que los alcaldes demandan y reciben hasta un tercio adicional de transferencias que provienen de ministerios dirigidos por sus correligionarios, efecto que se torna mayor en años electorales y en ministerios que invierten más en infraestructura local, sin haber diferencias entre el partido en la Presidencia y los partidarios de la coalición. Por otro lado, no hay evidencia de que los ministros manipulen directamente la burocracia para beneficiar a sus aliados. En general, estos resultados indican que los partidos políticos extraen beneficios no programáticos al ocupar ministerios en Brasil., Résumé Cet article propose une théorie pour expliquer comment les partis politiques influencent les investissements discrétionnaires des ministères au Brésil. Contrairement aux études précédentes qui supposent que les présidents centralisent les décisions d’attribution du gouvernement fédéral, je soutiens qu’ils les partagent avec d’autres partis lorsqu’ils offrent des ministères lors de la formation de coalitions gouvernementales. Une fois en charge d’un ministère, les partis commencent à exercer une influence et à acquérir une expertise sur les investissements gérés par leurs ministères, ce qui, à son tour, encourage leurs coreligionnaires locaux à demander, et aussi à recevoir, plus de ressources de leur part. Les données couvrant plus de 20 ans de transferts discrétionnaires des ministères aux municipalités au Brésil et une conception à triples différences appuient la théorie. En particulier, les résultats montrent que les maires demandent et reçoivent jusqu’à un tiers de transferts supplémentaires des ministères dirigés par des coreligionnaires, un effet qui est plus important les années électorales et dans les ministères qui investissent davantage dans les infrastructures locales, quel que soit le parti à la présidence et les partenaires de la coalition. D’un autre côté, rien ne prouve que les ministres manipulent directement la bureaucratie au profit des alliés. Dans l’ensemble, ces résultats indiquent que les partis politiques tirent des avantages non programmatiques de l’occupation des ministères au Brésil.",https://doi.org/10.1590/dados.2024.67.1.308,scl
S2215-37052023000100003-cri,Propuestas de control de acarreos en Ruta Nacional 40. Lago Guillelmo-Bariloche,"Girardi Mancini, Pablo, Víctor Cordo, Oscar","Abstract In this paper are presented mass removal problems caused by excessive rains on National Road 40, San Carlos de Bariloche-El Bolsón section, in the southwest of the province of Río Negro, in Patagonia, Argentina, bordering Guillelmo Lake. The zone in question presents copious precipitations that affect hills, whose slopes have suffered forest fires, leaving them without vegetation and susceptible to erosion. The aforementioned problems, obliged Vialidad Nacional to ask the School of Mountain Roads Engineering to solve this problem that is becoming chronic and whose severity increases with each climatic event. Actually, after each rain, large volumes of debris accumulate on the road, cutting the route and cutting off the link between the cities of San Carlos de Bariloche and El Bolsón, generating a great number of difficulties to the region. Firstly, procedures tending to alleviate this problem in the short term are proposed, as well as further actions to achieve a fundamental solution to solve this serious problem definitely., Resumen Se presenta en este artículo problemas de remoción en masa ocasionados por excesivas lluvias en la Ruta Nacional 40, tramo San Carlos de Bariloche-El Bolsón en el sudoeste de la provincia de Río Negro, en la Patagonia, Argentina, en el sector que bordea el lago Guillelmo. La zona en cuestión presenta copiosas precipitaciones que afectan cerros, cuyas laderas han sufrido incendios forestales que las han dejado sin vegetación y susceptibles a la erosión. Los problemas citados motivaron a que Vialidad Nacional hiciera un pedido a la Escuela de Ingeniería de Caminos de Montaña para solucionar este problema que se está haciendo crónico y cuya gravedad aumenta con cada evento climático. En efecto, luego de cada lluvia, grandes volúmenes de detritos se acumulan sobre la calzada cortando la ruta, dejando incomunicadas a las ciudades de San Carlos de Bariloche y El Bolsón, generando un sinnúmero de inconvenientes a la región. En este trabajo se proponen, en primer lugar, medidas tendientes a paliar este problema a corto plazo y otras acciones con el objetivo de lograr una solución a mediano y largo plazo para este serio problema en forma definitiva.",https://doi.org/10.15517/iv.v25i44.53505,cri
S2215-37052023000100004-cri,Plan de mantenimiento periódico del pavimento en el tramo Paradero Las Retamas - Puente Los Ángeles,"Ramírez Medina, Daniel Alexis, Valenzuela Robles, Luis Segundo","Abstract The general objective of this study was to design a periodic maintenance plan for Paradero Las Retamas - Puente Los Angeles section of the Central highway, developed in 2021. For this purpose, a quantitative, descriptive, non-experimental, cross-sectional approach methodology was applied to a sample population of 1,9 km distributed in 13 sampling units of 230,42 m2, to which the Pavement Condition Index (PCI) was determined according to its own methodology. A traffic study was also conducted to determine the composition and classification of vehicles, and the drainage system was inspected to identify the current pavement conditions. In addition, physical properties were analysed through laboratory tests to determine the International Regularity Index (IRI) and the Present Serviceability Index (PSI), considering the stipulations of the Ministry of Transportation and Communications (MTC). Finally, the information was processed using HDM-4 software to determine the most appropriate periodic maintenance strategies. In this way, an overall PCI of 62 was obtained, qualified as ""good"", and an Average Daily Annual Index (IMDA) of 31 236 vehicles/day, which classifies the road as a first-class highway. On the other hand, the most viable maintenance alternative was a simple surface treatment, accompanied by the uniform application of a layer of bituminous binder on the granular pavement, combined with an optimal routine maintenance. The evaluation criteria show the profitability of the project, showing a Net Present Value (NPV) of 3,20 million soles (844 804 USD) and an Internal Rate of Return (IRR) of 20 %. Finally, a positive impact on the PSI is obtained as a result of the implementation of the alternative., Resumen El presente estudio tuvo como objetivo general diseñar un plan de mantenimiento periódico para la prolongación de la vida útil del pavimento en el tramo Paradero Las Retamas - Puente Los Ángeles de la carretera Central, elaborado en el 2021. Para ello, se abordó una metodología de enfoque cuantitativo, descriptiva, no experimental de corte transversal, aplicada a una muestra población de 1,9 km distribuida en 13 unidades de muestreo de 230,42 m2, a las cuales se determinó el Índice de Condición del Pavimento (PCI) según su propia metodología. Asimismo, se realizó un estudio de tráfico para determinar la composición y clasificación vehicular y se inspeccionó el sistema de drenaje para identificar las condiciones actuales del pavimento. En conjunto, se analizaron propiedades físicas mediante ensayos de laboratorio a fin de determinar el Índice de Regularidad Internacional (IRI) y el Índice de Servicialidad Presente (PSI), tomando en cuenta lo estipulado por el Ministerio de Transportes y Comunicaciones (MTC). Por último, se procesó la información mediante el software HDM-4 para determinar las estrategias de mantenimiento periódico más adecuadas. De esta manera, se obtuvo un PCI general de 62, calificado como ''bueno'', un Índice Medio Diario Anual (IMDA) de 31 236 veh/día, que clasifica la vía como autopista de primer orden. Por su parte, la alternativa de mantenimiento más viable resultó el simple tratamiento superficial, el cual viene acompañado de la aplicación uniforme de un ligante bituminoso sobre pavimento granular, combinado con un óptimo mantenimiento de rutina y cuyos criterios de evaluación que muestran la rentabilidad del proyecto, obedecen a un Valor Actual Neto (VAN) de 3,20 millones de soles (844 804 USD) y una Tasa Interna de Rentabilidad (TIR) del 20 %. Por último, se obtiene un impacto positivo en el PSI producto de la implementación de la alternativa.",https://doi.org/10.15517/iv.v25i44.51309,cri
S2215-37052023000100001-cri,"Estabilización de la subrasante con ceniza de quinua y cal en la Carretera Lago Sagrado, Puno, Perú","Mamani Gonzalo, Griselda, De La Cruz Vega, Sleyther Arturo, Vega Neyra, Ccori Siello, Yllescas Rodríguez, Patricia Maribel, Rea Olivares, Walter Manuel","Abstract The highways that connect the populated centers of the city of Puno in Peru, lack of paved roads, most of the connecting roads are carriageable trails. In addition, these roads make it difficult for vehicles to move continuously and safely due to the presence of holes and deformation caused by rain. Then, the purpose of this research was to determine the effect of the combination of quinoa ash and lime as soil stabilizers. The samples and data were processed using applied methodology, pure experimental design, and quantitative approach. The results showed an improvement in the characteristics of cohesive soils after adding quinoa ash and lime. With the addition of 9 % quinoa ash and 5 % lime, a small variation of the liquid limit, plastic limit and plasticity index was obtained in comparison with the foundation soil. Similarly, in terms of dry density and moisture content, a decrease in the optimum moisture content of 9 % was obtained, and an increase in the dry density of 1,902 g/cm3. The CBR increased reaching values of 32,0 % at 100 % dry density and at 95 % dry density showed a value of 25,6 %. It is concluded that there is an improvement in the mechanical properties of the soil with the addition of quinoa ash and lime., Resumen Las carreteras que conectan los centros poblados de la ciudad de Puno en el Perú carecen de vías pavimentadas, la mayoría de las vías de conexión son trochas carrozables. Además, estas vías dificultan el desplazamiento de los vehículos de forma continua y segura debido a la presencia de huecos y deformaciones producto de la lluvia. Por tanto, el propósito de la presente investigación fue determinar cuán efectiva es la combinación de ceniza de quinua y cal en la estabilización de suelos. El procesamiento de las muestras y los datos fue utilizando metodología aplicada, diseño experimental puro y enfoque cuantitativo. Los resultados muestran una mejora en las características de los suelos cohesivos adicionando ceniza de quinua y cal. Con adición de 9 % de ceniza de quinua y 5 % de cal, se obtuvo una pequeña variación del límite líquido, del límite plástico y el índice de plasticidad en comparación con el suelo de fundación. En el caso de la densidad seca y el contenido de humedad tras el mismo análisis, se obtuvo una disminución del óptimo contenido de humedad al 9 % y un aumento de la densidad seca al 1,902 g/cm3. El CBR aumentó alcanzando valores de 32,0 % al 100 % la densidad seca y al 95 % la densidad seca, mostró un valor de 25,6 %. Se concluye que existe una mejora de las propiedades mecánicas del suelo con la adición de ceniza de quinua y cal.",https://doi.org/10.15517/iv.v25i44.53569,cri
S2215-37052023000100002-cri,Elaboración de un diseño de mezcla para la estabilización de un suelo con emulsión asfáltica tipo CSS-1h y pavimento asfáltico reciclado (RAP) basado en el procedimiento de Marshall modificado,"Maylle Paima, Alexandra, Avila Tarma, Pedro Enrique","Abstract The rehabilitation of deteriorated pavements requires various natural and economic resources. Given this problem, this research aimed to elaborate a mix design to stabilize recycled soil with asphalt emulsion type CSS-1h, using the modified Marshall design method. This study analyzed the influence of the percentage of asphalt emulsion (3,0 % to 6,0 %) regarding the physical and mechanical properties of the stabilized soil according to the parameters required by the Peruvian road manual EG-2013. The results show that with a dosage of 4,8 % of asphalt emulsion and 2,88 % of asphalt residue, the best performance is achieved compared to the other percentages proposed, obtaining a maximum stability of 980 kg, exceeding the minimum value of 227 kg established by the regulations. It was concluded that with the aforementioned dosage a stable asphalt mixture is obtained with which the deteriorated pavement can be stabilized to withstand medium vehicular traffic., Resumen La rehabilitación de pavimentos deteriorados requiere de diversos recursos tanto naturales como económicos. Ante tal problemática esta investigación tuvo como objetivo elaborar un diseño de mezcla para la estabilización de un suelo reciclado con emulsión asfáltica tipo CSS-1h, utilizando el método de diseño Marshall modificado. El estudio analizó la influencia del porcentaje de emulsión asfáltica (3,0 % a 6,0 %) respecto a las propiedades físicas y mecánicas del suelo estabilizado según los parámetros que exige el manual peruano de carreteras EG-2013. Los resultados muestran que, con una dosificación de 4,8 % de emulsión asfáltica y 2,88 % de residuo asfáltico se logra el mejor comportamiento en comparación a los demás porcentajes planteados, obteniendo una máxima estabilidad de 980 kg superando el mínimo valor de 227 kg establecido por la norma. Se concluyó que con dicha dosificación se obtiene una mezcla asfáltica estable con la que se puede estabilizar el pavimento deteriorado para soportar un tránsito vehicular mediano.",https://doi.org/10.15517/iv.v25i44.53441,cri
S1659-13212023000200029-cri,"Fish waste silage, a green process for low feedstock availability. A Review","Libonatti, Claudia Carina, Agüería, Daniela Alejandra, Breccia, Javier","Resumen Introducción. Las actividades pesqueras generan un volumen de desechos relacionados con el procesamiento de especies (vísceras, cabezas y espinas), los descartes de la fauna acompañante, especies de bajo valor comercial y pérdidas relacionadas con problemas de manejo. La producción de harina de pescado es el proceso más común para recuperar los nutrientes de los subproductos del procesamiento del pescado. Sin embargo, aquellos lugares con infraestructura reducida o donde el volumen de residuos producidos no justifique la ecuación económica para la conversión en harina o aceite de pescado, el ensilaje biológico podría ser la tecnología de elección para promover una gestión sostenible de los residuos. Objetivo. Recopilar, organizar y resumir la literatura relacionada con la fermentación biológica de residuos de pescado y sus aplicaciones. Desarrollo. Se realizó una revisión bibliográfica (enero 1994 – diciembre 2020) referida al aprovechamiento integral de los residuos de la pesca, principalmente focalizada a la utilización de las bacterias ácidos lácticas en la biofermentación de los mismos. La información se organizó en diferentes secciones: ensilado de pescado, bacterias acido lácticas, fuentes de hidratos de carbono referidas a la elaboración de ensilados biológicos de pescado. Conclusiones. Los estudios analizados destacan la posibilidad de utilizar una amplia variedad de fuentes de hidratos de carbono, iniciadores biológicos y condiciones de fermentación de desechos de pescado. Los resultados satisfactorios muestran el potencial uso de los desechos de pescado en diferentes aplicaciones. Este trabajo podría aportar a las pesquerías que quieran adoptar esta tecnología para el tratamiento adecuado de los residuos con la finalidad de contribuir a la bioeconomía de reciclaje., Abstract Introduction. Different fishing activities generate a waste volume related to the processing species (viscera, heads and bones), the discards of the companion fauna, species of low commercial value and the losses related to handling problems. Fish meal production is the most common process for recovery nutrients from these fish processing byproducts. However, those places with reduced infrastructure or where the volume of wastes produced do not justified the economic equation for conversion into fish meal or oil, the biological silage could be the technology of choice to promote a sustainable waste management. Objective. To compilate, organize and summarize literature related to biological fermentation of fish waste and its applications. Development. A bibliographic review was carried out (January 1994 - December 2020) referring to the comprehensive use of fishing residues mainly focused on the use of lactic acid bacteria in fish waste fermentation. The information was organized in different sections: fish silage, lactic acid bacteria and carbohydrate sources for biological silage. Conclusions. The studies analyzed in this review highlight the possibility of using a wide variety of carbohydrate sources, biological starters and fish waste fermentation conditions. The satisfactory results show the potential use of fish waste in different applications. This work could contribute to the fisheries that decide to adopt this kind technology in order to provide an innovative and viable recycling bioeconomy.",https://doi.org/10.15517/am.v34i2.51077,cri
S2007-91762023000100049-mex,"Una perspectiva constructivista y cultural de los conflictos por agua en Morelos, México","Latargère, Jade","Abstract Instead of focusing on physical problems of water resources, this article is interested in the identity of groups that struggle for water. Considering recent conflicts that have occurred in the State of Morelos, we show that water problem concern mostly peasant communities. Basing on the cultural theory of risk of Mary Douglas and Aaron Wildavsky, we argue that they select water risk because it results important for their cultural and political organization. We explain that after the land reform of the nineties, the ejidos have lost their identity references and the main part of their political power, so water has acquired a strategic relevance for the cultural and political survival of the group. Doing this, we propose a constructivist and cultural interpretation of water conflicts in Morelos., Resumen En lugar de focalizarse en los problemas que afectan el recurso hídrico, este artículo centra su atención en la identidad de los grupos que luchan por el agua. A partir de la revisión de diversas situaciones de conflicto por agua que han surgido en el estado de Morelos por la construcción de nuevas infraestructuras y equipamientos, se muestra que en los últimos años, son sobre todo las comunidades campesinas las que se han movilizado en torno al problema hídrico. Con base en la teoría cultural de Mary Douglas y Aaron Wildavsky, se argumenta que seleccionan el riesgo hídrico porque resulta importante para su organización cultural y política. Se pone de relieve que tras la reforma al estatuto de las tierras ejidales en los años noventa, los ejidos han perdido sus referentes identitarios y gran parte de su poder político. Se argumenta que, en este contexto, el agua ha adquirido un valor estratégico para la supervivencia del grupo. Se propone de esta manera una interpretación constructivista y cultural de los conflictos por agua en Morelos.",https://doi.org/10.28928/ri/942023/atc1/latargerej,mex
S2215-26442023000100350-cri,Programa Conectar Igualdad en Argentina desde las voces de sus protagonistas. Un análisis de su estructura de gestión y su trama decisional,"Marchetti, Braian, Porta, Luis","Resumen El Programa Conectar Igualdad (PCI) en Argentina representó la política más importante de las últimas décadas en materia de inclusión digital. Para llevar adelante la distribución de más de cinco millones de netbooks, el PCI construyó una estructura de gestión encabezada por un Comité Ejecutivo compuesto por distintos sectores del Estado. El propósito de este trabajo consiste en indagar sobre las características de la estructura de gestión del PCI, identificar las áreas del Estado y sujetos intervinientes dentro de esta y analizar la trama decisional resultante de la interacción entre las áreas y sujetos mencionados. La investigación se define como interpretativa y cualitativa en tanto se nutre de una serie de entrevistas en profundidad realizadas a los sujetos protagonistas de la gestión del PCI. Se caracteriza a la estructura de gestión como intergubernamental y a su trama decisional flexible como única alternativa a las problemáticas y tensiones ocurridas en la articulación de las distintas áreas de gobierno intervinientes. Se considera que para futuras políticas de este estilo es necesario delimitar claramente las tareas a cargo de cada área de gobierno para evitar la dispersión y superposición de los esfuerzos realizados en la multiplicidad de tareas a atender. De la misma manera, diversificar los programas en funcionamiento que abarcan tareas desde la infraestructura tecnológica en una escuela hasta la formación docente o la elaboración del contenido pedagógico de las netbooks, facilitará la concreción de los objetivos propuestos. Si bien no hay un único formato en la definición de las estructuras de gestión de este tipo de programas, al ser una política educativa de inclusión digital parece lo indicado que sea el Ministerio de Educación de la Nación quien coordine los destinos de dicho programa, apoyado en otros organismos que puedan actuar de manera complementaria con las compras y contrataciones., Abstract The Conectar Igualdad Program (PCI) in Argentina was the most significant policy in terms of digital inclusion in the last decades. In order to distribute more than five million netbooks, the PCI management structure was in charge of an executive committee consisting of different state areas. The purpose of this work is to investigate the characteristics of the PCI management structure, identify state areas and intervening subjects within it, and analyze the decision-making network resulting from the interaction between the aforementioned areas and subjects. The present research is interpretative and qualitative since a series of in-depth interviews were carried out. The management structure is characterized as intergovernmental and its flexible decision-making network as the only alternative to the problems and tensions that took place in the articulation of the different government areas involved. For future policies alike, it becomes essential to reconsider the distribution of tasks for each government area to avoid overlapping and scattering of the multiple tasks involved. Along the same line, a variety of programs at work –e.g.: from the technological infrastructure in a school to teacher training or the elaboration of the pedagogical content of the netbooks- will help in the fulfillment of the objectives. Although there is not a single format in the definition of the management structures for this type of program, since it is an educational policy of digital inclusion, it seems appropriate that the National Ministry of Education coordinates the recipients of this program, supported by other organizations that in charge of purchases and contracts.",https://doi.org/10.15517/revedu.v47i1.49953,cri
S0016-38132023000300175-mex,Costos directos de atención médica por COVID-19 durante el primer año de pandemia en un hospital reconvertido,"Torres-Toledano, Marisol, Granados-García, Víctor, López-Tapia, José de Jesús, Miguel-Tiburcio, Elizabeth T., Flores, Yvonne N., Aracena-Genao, Belkis, Ramírez-Palacios, Paula","Abstract  Background: COVID-19 health emergency caused an increase in the demand for hospitalization and high costs for the health system.  Objective: To estimate COVID-19 care direct costs from the perspective of the healthcare provider in a secondary care hospital that underwent conversion during the first year of health emergency.  Material and methods: Retrospective, observational study. Information on quantities of goods and services was obtained from the SINOLAVE and CVOED platforms and from hospital administrative sources. Four cost groups were defined and estimated with 2021 unit prices in US dollars.  Results: Mean hospital length of stay (n = 3,241 patients) was 10.8 ± 8.2 days. Average cost of care per patient was USD 6,557 ± 4,997. Respiratory therapy with assisted mechanical ventilation was used by 13% of patients.  Conclusions: The costs of COVID-19 medical care represent a large amount of resources. Most part of the costs (95%) were derived from hospital stay, respiratory therapy without assisted mechanical ventilation and costs related to personal protective equipment, hygiene, infrastructure adaptation and payments to medical personnel., Resumen  Antecedentes: La emergencia sanitaria por COVID-19 causó un aumento de la demanda por hospitalización y costos elevados para el sistema de salud.  Objetivo: Estimar los costos directos de la atención por COVID-19 desde la perspectiva del proveedor de servicios en un hospital de segundo nivel que fue reconvertido durante el primer año de la emergencia sanitaria.  Material y métodos: Estudio observacional retrospectivo. La información sobre cantidades de bienes y servicios se obtuvo de los sistemas de información SINOLAVE y CVOED, así como de fuentes administrativas del hospital. Se definieron cuatro grupos de costos y se valoraron en dólares norteamericanos con precios unitarios de 2021.  Resultados: La duración promedio de la estancia hospitalaria (n = 3241 pacientes) fue de 10.8 ± 8.2 días. El costo promedio de la atención por paciente fue de USD 6 557 ± 4 997. La terapia respiratoria con ventilación mecánica asistida fue utilizada por 13 % de los pacientes.  Conclusiones: Los costos médicos de atención por COVID-19 representaron una gran cantidad de recursos. La mayor parte de los costos (95 %) se derivó de estancia hospitalaria, terapia respiratoria sin ventilación mecánica asistida, así como de costos relacionados con equipo de protección personal, higiene, adecuación a la infraestructura y pagos al personal médico.",https://doi.org/10.24875/gmm.23000012,mex
