Id,Title,Authors,Abstracts,DOI,Country
S0187-73722023000100104-mex,"Narrativas juveniles sobre el narcotráfico en Sinaloa: ingreso, riesgos y planes a futuro","Valdez Bátiz, Jairo Elí, Esparza Bernal, Víctor Horacio, Burgos Dávila, César Jesús, Morales, Erika","Abstract The article’s objective is to understand the youth experiences, assessment, and meaning construction of drug trafficking. The fieldwork was carried out in 2018 and 2019 in Culiacán, Sinaloa. A qualitative approach was made to the sociocultural understanding of drug trafficking. We interviewed 16 young persons between the ages of 18 to 29 who collaborated or were involved with drug trafficking. The results highlight drug trafficking entrance motivation and experience; permanence, risk assessment, and consequences of the activities carried out; making plans within and outside drug trafficking. It is concluded that young people join and remain in drug trafficking due to the idealization of a successful life, economic retribution, acceptance, legitimacy, and recognition of drug trafficking in the context. For young people, drug trafficking is constituted as a space for work, projection, and building a future., Resumen El objetivo de este artículo es comprender las experiencias, valoraciones y la construcción de sentido del narcotráfico desde las juventudes. El trabajo de campo se realizó durante 2018 y 2019 en Culiacán, Sinaloa. Se hizo una aproximación cualitativa a la comprensión sociocultural del narcotráfico. Se entrevistó a 16 jóvenes entre 18 y 29 años que colaboran o colaboraron con el narcotráfico. En los resultados sobresalen: las motivaciones y experiencias de ingreso al narcotráfico; la permanencia, valoración de riesgo y consecuencias de las actividades realizadas; la construcción de planes a futuro dentro y fuera del narcotráfico. Se concluye que el ingreso y la permanencia de las juventudes al narcotráfico se da por la idealización de una vida exitosa, por la retribución económica, la aceptación, la legitimidad y el reconocimiento del narcotráfico en el contexto. Para las juventudes el narcotráfico se constituye como espacio de trabajo, de proyección y construcción de futuro.",https://doi.org/10.33679/rfn.v1i1.2306,mex
S1405-84212023000200629-mex,Análisis del proceso de gobernanza colaborativa para abordar un problema socioambiental en un contexto conflictivo,"Simon, Jeanne W., Ceballos Sáez, Carla","Abstract In response to the contamination of Villarrica Lake, territorial actors have demanded greater environmental protection. In response, the Chilean State established a collaborative process to elaborate a Decontamination Plan. However, the process did not respond to their expectations, resulting in public questioning of the plan and government motivations. To reduce the gap between the design and practice of governance, we propose a methodology to analyze the collaborative governance process and recommend changes to achieve better and more legitimate results., Resumen Como reacción a la contaminación del lago Villarrica, actores territoriales se movilizaron para exigir mayor protección ambiental. En respuesta, el gobierno chileno estableció un proceso colaborativo para elaborar el Plan de Descontaminación Ambiental. No obstante, el proceso no logró responder a las expectativas de las organizaciones territoriales, generando un cuestionamiento público hacia el Plan y a las motivaciones del gobierno. Para reducir la brecha entre la teoría y la práctica de gobernanza, se propone una metodología para analizar el proceso de gobernanza colaborativa realizado. Se concluye con recomendaciones para lograr mejores resultados y legitimidad.",https://doi.org/10.22136/est20231768,mex
S2027-46882023000100015-col,"Pobres, esclavos, indígenas y personas miserables: reflexiones en torno a sus abogados en el Consejo de Indias y en la Audiencia de México, siglo XVI","Cunill, Caroline","Resumen El presente artículo analiza a los abogados que representaron a pobres, esclavos e indios en los pleitos ventilados ante el Consejo de Indias y la Audiencia de la Nueva España en el siglo XVI. Se esclarece el contexto histórico, las motivaciones políticas y los argumentos que pueden explicar por qué la Corona española decidió nombrar a oficiales encargados de representar a determinados sectores de la población en sus tribunales. También se pone de manifiesto cómo los elementos teóricos y las experiencias circularon y dieron lugar a procesos paralelos de nombramiento de abogados de pobres, esclavos e indios en el Consejo de Indias y la Audiencia de México. El estudio se fundamenta en la normativa real, los nombramientos, las cartas de pago otorgadas a los abogados y las probanzas de méritos elaboradas por los titulares. Se toman en cuenta, asimismo, varios pleitos en que intervinieron para comprender cómo aquellos actores se repartían los negocios americanos., Abstract This article analyzes the lawyers who represented the poor, the slaves, and the Indigenous people in their lawsuits at the Consejo de Indias and the Audiencia de la Nueva España in the sixteenth century. We will highlight the historical context, the political motivations, as well as the theoretical arguments that help explain why the Spanish crown appointed lawyers in charge of representing specific social groups in its higher courts of justice. One of the main objectives is to show how theoretical considerations and experiences circulated on both sides of the Atlantic and led to parallel processes of appointments in the Council of the Indies and the court of Mexico. The article builds on royal normative, appointments, orders of payments, and relations of services and deeds written by the officeholders during the sixteenth century. Diverse lawsuits are also analyzed to highlight how affairs were dispatched among the lawyers of the Council of the Indies and the Audiencia de México.",https://doi.org/10.22380/20274688.2388,col
S1409-45682023000100003-cri,Impetrações judiciais de mães de crianças com síndrome congênita do vírus zika: das motivações aos desfechos,"Santana, Laís da Silva, Vale, Paulo Roberto Lima Falcão do, Lisboa, Erick Soares, Suto, Cleuma Sueli Santos, Santos, Luciano Marques dos, Santana Carvalho, Evanilda Souza de","Resumen  Introducción:  Las familias de personas menores con síndrome de zika congénito (SZC) viven con dificultades para satisfacer sus necesidades de salud, por lo que hacen un llamado al Poder Judicial para gozar de este derecho.  Objetivo:  Conocer las principales motivaciones de las demandas presentadas por madres de niños y niñas con SZC y sus desenlaces.  Metodología:  Estudio documental exploratorio con enfoque cualitativo, realizado en el sitio web de JusBrasil y recogido en marzo de 2020. Se incluyeron 15 juicios publicados entre enero de 2016 y junio de 2019 en JusBrasil. Se realizó el análisis léxico a través del software IRaMuTeQ y el análisis de contenido temático.  Resultados:  El acceso a las tecnologías asistenciales es la principal motivación de las demandas, con el fin de asegurar la mejora en el desarrollo de la persona menor y su consecuente independencia. Las decisiones judiciales beneficiaron a niñas y niños con SZC, basadas en los derechos a la salud, a la vida y protección y a ir y venir.  Conclusiones:  Para mitigar los impactos de la judicialización en salud, las autoridades sanitarias y judiciales pueden invertir en una mejor vigilancia y seguimiento de los factores de riesgo y morbilidades, rigor en los protocolos sanitarios que implican la migración de personas en zonas fronterizas, ofrecer condiciones ambientales y habitacionales dignas, realizar cuidados preventivos, con énfasis en la eficiencia de la inmunización, además de la organización y operación de una red de atención de salud efectiva con enfoque interdisciplinario., Resumo  Introdução:  As famílias de crianças com Síndrome Congênita do Zika (SCZ) convivem com dificuldades para suprir suas necessidades de saúde, portanto acionam o poder judiciário para gozar do seu direito à saúde.  Objetivo:  Apreender as principais motivações das impetrações judiciais requeridas por mães de crianças com SCZ e seus desfechos.  Metodologia:  Estudo exploratório documental com abordagem qualitativa, realizado no sítio eletrônico JusBrasil e coleta procedida em março de 2020. Foram incluídas 15 impetrações judiciais publicadas entre janeiro de 2016 e junho de 2019. A análise lexical através do software IRaMuTeQ e a análise de conteúdo temática foram realizadas.  Resultados:  O acesso às tecnologias assistivas é a principal motivação para impetrações judiciais, com vistas a assegurar melhora no desenvolvimento da criança e consequente independência da criança. As decisões judiciais beneficiaram as crianças com SCZ, fundamentadas no direito à saúde, direito à vida e proteção, e o direito de ir e vir.  Conclusão:  Para mitigar os impactos da judicialização da saúde as autoridades sanitárias e judiciárias podem investir em melhor vigilância e monitoramento dos fatores de risco e morbidades; rigor nos protocolos sanitários que envolvem migração de pessoas em zonas fronteiriças; ofertas de condições ambientais e de moradia dignas; realização de cuidados preventivos com destaque para a eficiência da imunização; além da organização e funcionamento de uma rede de atenção à saúde eficaz com abordagem interdisciplinar., Abstract  Introduction:  Families of children with Congenital Zika Syndrome (CSZ) live with difficulties to meet their health needs; therefore, they resort to the law system in order claim their right to health.  Objective:  To apprehend the main motivations and outcomes of the lawsuits filed by mothers of children with CSZ.  Methodology:  Exploratory documentary study with a qualitative approach carried out on the JusBrasil website and collected in March 2020. The study included 15 lawsuits published between January 2016 and June 2019 in JusBrasil. A lexical analysis through the IRaMuTeQ software and a thematic content analysis were performed.  Results:  The access to assistive technologies is the main motivation for the lawsuits; these are issued with the objective to ensure improvement in the child's development and further independence of the child. Court decisions benefited children with CSZ based on the right to health, the right to life and protection, and the right to come and go.  Conclusion:  To mitigate the impacts of health judicialization, health and judicial authorities can invest in better surveillance and monitoring of the risk factors and morbidities, strictness in the health protocols that involve migration of people in border areas, offering of decent environmental and housing conditions, execution of preventive care with emphasis on the efficiency of immunization, as well as the organization and execution of an effective health care network with an interdisciplinary approach.",https://doi.org/10.15517/enferm.actual.cr.i44.48496,cri
S1983-71512023000200329-scl,HARRY POTTER E O PERFIL DO TURISTA CINEMATOGRÁFICO BRASILEIRO,"Mendes, Paula Caroline de Souza, Silva, Maria Isabel Eugênio Melo da, Körössy, Nathália, Melo, Priscila Fernandes Carvalho de","Resumen: El turismo cinematográfico es un segmento que ha ido cobrando fuerza en las últimas décadas. Entender qué induce a una persona a realizar viajes a lugares que fueron platós de cine es importante para que el mercado turístico diseñe sus estrategias y acciones. La saga de Harry Potter, mundialmente famosa por la autora J.K. Rowling y adaptada para los cines por Warner Bros, ha sido relacionada con prácticas de turismo cinematográfico en varios países del mundo, entre ellos Brasil. Tanto los lugares descritos en los libros y utilizados en la filmación de la saga, como las instalaciones turísticas inspiradas en la saga construidas específicamente para captar a este público son visitados por turistas de todo el mundo. Considerando, por lo tanto, su importancia cultural, popularidad e influencia en el público, se eligió la saga cinematográfica Harry Potter como caso de estudio del presente artículo, con el objetivo de analizar el perfil del turista cinematográfico brasileño fanático de Harry Potter. Para ello, esta investigación buscó identificar las motivaciones y prácticas del turista cinematográfico brasileño relacionadas con la saga. Se llevó a cabo una investigación exploratoria-descriptiva con enfoque cuantitativo. Como principal resultado, se verificó que las personas que practican turismo cinematográfico influenciadas por Harry Potter se ajustan al perfil del turista cinematográfico específico, ya que realizan sus viajes motivados por el deseo de conocer de cerca los lugares de rodaje., Resumo: O turismo cinematográfico é um segmento que vem ganhando forças nas últimas décadas. Compreender o que induz uma pessoa a realizar viagens a lugares que foram cenários de filmes é importante para o mercado turístico traçar suas estratégias e ações. A saga Harry Potter, escrita por J. K. Rowling, ficou mundialmente famosa quando adaptada para os cinemas pela Warner Bros e tem se relacionado com práticas de turismo cinematográfico em diversos países do mundo, incluindo o Brasil. Tanto os locais descritos nos livros e utilizados nas filmagens da saga, como também equipamentos turísticos inspirados na saga construídos especificamente para captar esse público são visitados por turistas de todo o mundo. Considerando, portanto, sua importância cultural, popularidade e influência no público, escolheu-se a saga cinematográfica Harry Potter como estudo de caso do presente artigo, com o objetivo de analisar o perfil do turista cinematográfico brasileiro fã de Harry Potter. Para tanto, esta investigação buscou identificar as motivações e as práticas do turista cinematográfico brasileiro relacionadas à saga. Foi realizada uma pesquisa exploratório-descritiva com abordagem quantitativa. Como principal resultado, verificou-se que pessoas praticantes do turismo cinematográfico influenciadas por Harry Potter se encaixam no perfil do turista de filme específico, uma vez que realizam suas viagens sendo motivados pelo desejo de conhecer de perto as locações de filmagens., Abstract: Film tourism is a segment that has been gaining strength in recent decades. Understanding what induces a person to travel to places that were once movie sets is important for the tourism market to design its strategies and actions. The Harry Potter saga, made world famous by author J.K. Rowling and adapted for theaters by Warner Bros, has been linked to film tourism practices in several countries around the world, including Brazil. Both the locations described in the books and used in the filming of the saga, as well as the saga-inspired tourist facilities built specifically to capture this audience are visited by tourists from all over the world. Considering, therefore, its cultural importance, popularity and influence on the public, the Harry Potter film saga was chosen as a case study for this article, with the aim of analyzing the profile of the Brazilian film tourist Harry Potter fan. To this end, this research sought to identify the motivations and practices of the Brazilian film tourist related to the saga. Exploratory-descriptive research with a quantitative approach was carried out. As a main result, it was verified that the people who practice film tourism influenced by Harry Potter fit the profile of the specific film tourist, since they make their trips motivated by the desire to get to know the filming locations up close.",https://doi.org/10.14210/rtva.v25n2.p329-358,scl
S1405-84212023000100339-mex,Conflicto territorial y acción colectiva en la génesis de un nuevo municipio: San Francisco Tlalcilalcalpan,"Palma Cruz Blanca, Marlen Anaid, Zamora Lomelí, Carla Beatriz, Bello Baltazar, Eduardo, Ruiz de Oña Plaza, Celia","Abstract This article offers an analytical approach to territorial conflicts, considering territory as a fundamental axis as the space where identities, motivations and grievances are generated, which influence the configuration of collective actors using different repertoires of action to defend the territory. Using qualitative methodology, we analyze the Juan Corrales Group, from the community of San Francisco Tlalcilalcalpan, State of Mexico, which has sustained a prolonged territorial dispute with the municipalities of Almoloya and Zinacantepec, emphasizing the last episode of the conflict that occurred in 2018. We conclude that identity is a trigger for the defense of territory., Resumen Este artículo ofrece una aproximación analítica de los conflictos territoriales, considerando al territorio como el espacio en donde se gestan identidades, motivaciones y agravios que inciden en la configuración de actores colectivos que utilizan diferentes repertorios de acción para la defensa del territorio. El grupo “Juan Corrales” de la comunidad San Francisco Tlalcilalcalpan, Estado de México ha sostenido una prolongada disputa territorial con los municipios de Almoloya de Juárez y Zinacantepec, el último episodio del conflicto se suscitó en 2018. De modo que a través de una metodología cualitativa se concluye que la identidad es un detonante de la defensa del territorio.",https://doi.org/10.22136/est20231744,mex
S2550-67222023000100024-ecu,LOS ESTUDIANTES QUE SOBRAN: MOTIVACIONES Y CAUSAS DEL FRACASO ESCOLAR EN JÓVENES ESTUDIANTES CHILENOS,"Padilla, Cristian","RESUMEN Las discusiones actuales sobre fracaso escolar han hecho hincapié en tres dimensiones íntimamente relacionadas, a saber: el individuo, el contexto escolar y el contexto familiar/comunitario. A su vez, han señalado la importancia de los contextos de vulnerabilidad para su estudio, especialmente en países como Chile, donde la educación ha vivido transformaciones estructurales que en las últimas décadas han agudizado problemas como la segregación y el deterioro de la calidad de la educación pública ofrecida para estos sectores. En tal sentido, el presente artículo busca conocer los discursos que un grupo de jóvenes expresan respecto a sus experiencias de fracaso escolar en la ciudad de Temuco, Chile. El estudio fue de tipo exploratorio y de carácter cualitativo a través de un estudio de caso, y contó con los discursos de once jóvenes, siete profesionales del Servicio Nacional de Menores de Chile y cuatro profesionales de la educación. Los resultados muestran que los discursos de los jóvenes hacen referencia explícita a las 3 dimensiones antes mencionadas. Se destacan los conceptos de desmotivación y estudiantes problemáticos, en la dimensión individual; cultura escolar y exclusión de la diferencia, en la dimensión escolar; y transgeneracionalidad, grupo de pares y barrios vulnerables, en la dimensión familiar/comunitaria., ABSTRACT Current discussions on school failure have emphasized three distinct, but closely interconnected dimensions, namely the individual, the school context, and the family/community context. At the same time, they have pointed out the importance of the contexts of vulnerability for their study, especially in countries such as Chile, where education has undergone structural transformations which in recent decades have exacerbated problems such as segregation, and the deterioration of the quality in public education offered to these sectors. In this sense, this manuscript explores the discourses of a group of youngsters reporting their experiences of school failure in Temuco, Chile. Employing a case study, this research also pursued an exploratory scope with a qualitative paradigm; in turn, it included the discourses of eleven young people, seven professionals from the Chilean National Service for Minors, and four education professionals. The results show that the discourses of the youngsters make explicit reference to the 3 dimensions mentioned above. The concepts of demotivation and problematic students, in the individual dimension; school culture and exclusion of difference, in the school dimension; and transgenerationality, peer group and vulnerable neighborhoods, in the family/community dimension, stand out.",https://doi.org/10.37135/chk.002.19.01,ecu
S1390-42992023000100077-ecu,"Asesinos en serie, múltiples en un solo acto y terroristas: algunos datos y reflexiones comparativas","Pérez-Martínez, Armenio, Rodríguez-Fernández, Aimara","Resumo O estudo dos crimes contra a vida humana vem ganhando espaço dentro das ciências comportamentais e desperta o interesse de tomadores de decisão governamentais, organismos multilaterais e da sociedade. Os diferentes tipos e características desses crimes estão sendo investigados sob quatro abordagens: biológica, psicológica, sociológica e ecológica. O objetivo desta pesquisa é determinar as características diferenciadoras entre os perfis criminológicos dos assassinos. Para tal, é utilizada uma metodologia qualitativa, descritiva e aplicada, destacando-se a revisão da literatura e a revisão de estudos de caso. Pode-se constatar que além da idade, sexo, raça, é difícil estabelecer resultados conclusivos em estudos criminológicos. O principal critério diferenciador do serial killer é o tempo de esfriamento emocional. Além disso, há muita semelhança entre vários assassinos em um único ato e terroristas; a principal diferença reside nas motivações ideológicas e políticas., Abstract The study of crimes against human life is gaining space within the behavioral sciences and awakens the interest of government decision-makers, multilateral organizations and society. The different types and characteristics of these crimes are being investigated from biological, psychological, sociological and ecological approaches. The aim of this research is to determine the differentiating characteristics between the criminological profiles of the murderers. A qualitative, descriptive and applied methodology is used, through the review of literature and case studies. It is found that, beyond age, sex, and race, it is difficult to establish conclusive results in criminological studies. The main differentiating criterion of the serial killer is the emotional cooling time. Also, there is an outstanding similarity between mass murderers and terrorists; the main difference lies in ideological and political motivations., Resumen El estudio de los delitos contra la vida humana va ganando espacio dentro de las ciencias del comportamiento y despierta interés de decisores gubernamentales, organismos multilaterales y la sociedad. Los distintos tipos y características de estos crímenes son investigados desde cuatro enfoques: biológico, psicológico, sociológico y ecológico. El objetivo de esta investigación es determinar las características diferenciadoras entre los perfiles criminológicos de los asesinos. Para ello, se emplea una metodología cualitativa, descriptiva y aplicada, a través de la revisión de la literatura y el análisis de estudios de casos. Se encuentra que, más allá de edad, sexo y raza, es difícil establecer resultados conclusivos en los estudios criminológicos. El principal criterio diferenciador del asesino en serie es el tiempo de enfriamiento emocional. Además, existe mucha semejanza entre los asesinos múltiple en un solo acto y los terroristas; la principal diferencia radica en las motivaciones ideológicas y políticas.",https://doi.org/10.17141/urvio.35.2023.5623,ecu
S0185-16672023000100153-mex,Motivations of mexican workers to participate in Canada’s seasonal agricultural workers program,"Carvajal Gutiérrez, Lidia, Mendoza González, Miguel Ángel, Stallmann, Judith I.","Resumen En este estudio identificamos tres motivaciones principales de los trabajadores mexicanos para participar en el Programa de Trabajadores Agrícolas Temporales de Canadá (PTAT): aumentar los medios de subsistencia y el bienestar del hogar, invertir en habilidades y activos agrícolas y mejorar la educación de los niños y la vivienda familiar. Con el análisis factorial y la aplicación de un sistema de ecuaciones vinculamos los tres tipos de motivaciones con las características sociodemográficas y económicas de los migrantes y sus familias. Los resultados más importantes muestran que tener más de cuatro hijos y ser agricultor están asociados positivamente con invertir en habilidades y activos agrícolas, pero ser jornalero agrícola en México y tener menos de dos hijos no están asociados con ninguna de las motivaciones., Abstract This study finds three main motivations for Mexican workers to participate in Canada’s Seasonal Agricultural Workers Program (CSAWP): Increasing household livelihood and welfare, investing in farming skills and assets, and improving children’s education and family housing. A factor analysis and a system of equations are used to find out which sociodemographic and economic characteristics of the migrants and their families are associated with each motivation. The most important results show that having more than four children along with being a farmer are positively associated with investing in farming skills and assets but being an agricultural day laborer in Mexico and having less than two children are not associated with any of the motivations.",https://doi.org/10.22201/fe.01851667p.2023.323.83825,mex
S2314-37382023000100002-arg,EVALUACIÓN DE LAS MOTIVACIONES UTILITARIAS EN LA COMPRA DE CALZADO E INDUMENTARIA A TRAVÉS DE MEDIOS ELECTRÓNICOS,"Toniut, Hernán Ramón","Resumen El propósito principal de esta investigación es proponer y analizar un conjunto de variables para evaluar las motivaciones utilitarias en la compra de productos a través de canales electrónicos. Para esto se ha realizado una revisión de la literatura sobre el tema y una investigación exploratoria y descriptiva. A pesar de que existen muchas investigaciones sobre comportamiento del consumo, el abordaje sobre el comportamiento electrónico es incipiente y no profundiza sobre sectores específicos. En este sentido, el artículo proporciona un conjunto de variables a considerar y las motivaciones posibles derivadas. Como parte del trabajo, se realizó una encuesta a usuarios de smartphone con acceso a internet para evaluar la prioridad en las motivaciones seleccionadas. Además, se indagó sobre los temores en la realización de este tipo de transacciones. A partir del análisis del comportamiento del consumidor, las organizaciones podrán diseñar estrategias de marketing efectivas, consolidar su propuesta de valor y mejorar las expectativas del cliente., Abstract The main purpose of this research is to propose and analyze a set of variables to evaluate the utilitarian motivations in the purchase of products through electronic channels. For this, a review of the literature on the subject and an exploratory and descriptive research has been carried out. Despite the fact that there is much research on consumer behavior, the approach to electronic behavior is incipient and does not delve into specific sectors. In this sense, the article provides a set of variables to consider and the possible motivations derived. As part of the work, a survey was conducted of smartphone users with internet access to assess the priority of the selected motivations. In addition, it was inquired about the fears in the realization of this type of transaction. Based on the analysis of consumer behavior, organizations will be able to design effective marketing strategies, consolidate their value proposition and improve customer expectations.",https://doi.org/10.24215/23143738e110,arg
